neighbourhood,id,host id,lat,long,Construction year,Price,service fee,minimum nights,number of reviews,reviews per month,Review Score,calculated host listings count,availability 365,distanceTimeSquare
Holliswood,30983880.5,48306703878.0,40.721803,-73.769464,2012.6,546.9,109.4,5.888888888888889,5.6,0.6016666666666667,3.4,1.0,224.6,18.635578467458167
Howard Beach,30572516.36,49697181443.74,40.65959016,-73.8418775,2009.76,546.36,109.32,9.9,39.6,2.446046511627906,3.28,1.78,171.76,16.3669207861738
Howland Hook,31204045.666666668,43688353468.16666,40.63000666666667,-74.17210666666665,2007.1666666666667,657.3333333333334,131.5,3.1666666666666665,29.33333333333333,0.8383333333333334,1.6666666666666667,1.0,225.0,21.307091388355
Huguenot,34081099.222222224,55902235681.66666,40.53964111111112,-74.16991,2012.7777777777776,691.1111111111111,138.44444444444446,1.3333333333333333,119.0,3.6744444444444446,4.111111111111111,1.2222222222222223,196.66666666666663,28.93830352912029
Hunts Point,31916276.452830188,42853439845.45283,40.81540105660377,-73.88856320754715,2012.5471698113208,610.4905660377359,123.90384615384616,-7.39622641509434,14.283018867924527,0.8973469387755102,3.2115384615384617,4.113207547169812,255.0566037735849,10.277546261838914
Inwood,29923299.598540142,49122390653.72628,40.86542703350364,-73.92455534125912,2012.9064220183488,661.7087912087912,131.73529411764707,6.3992673992674,21.195255474452555,0.9829273504273504,3.1838235294117645,5.652650822669104,124.79174484052533,12.898463590958436
Jackson Heights,30344090.34743876,47307071498.20268,40.75179404679288,-73.88017040238306,2012.6830357142856,627.5582959641256,125.99554565701558,7.320712694877505,36.78603603603604,1.811442307692308,3.3035714285714284,16.504464285714285,143.74599542334096,8.880634192594332
Jamaica,32057687.019386105,50122020055.8853,40.68513289870759,-73.7880722129079,2012.411003236246,624.9223300970874,125.20097244732575,2.988673139158576,52.84440842787682,2.76372513562387,3.4052287581699345,3.0776699029126213,191.51470588235293,18.549445817461653
Jamaica Estates,31206125.94,51066505827.3,40.7185084,-73.79154299999999,2012.18,632.9375,124.46,5.9,36.18,2.1788095238095235,3.48,2.6,196.06,16.921030761611668
Jamaica Hills,32880197.23809524,40618436476.61905,40.71362195238095,-73.79905776190478,2014.7619047619048,812.9047619047619,162.57142857142858,5.666666666666667,13.857142857142858,2.0375000000000005,2.6666666666666665,1.5238095238095235,145.0,16.46938682705351
Kensington,29097534.300813008,49338119464.06775,40.6415277398374,-73.97552758265583,2012.4146341463413,610.7642276422764,122.1490514905149,8.29810298102981,20.90190735694823,1.0819354838709676,3.323369565217391,2.152173913043478,110.34084507042252,13.07947338045592
